CONTRACT_ID,ENTITY_NAME,DEPARTMENT,MUNICIPALITY_TYPE,PROCESS_TYPE,CONTRACT_OBJECT,OBJETC_DETAIL,ESTIMATED_COST_ORIG,CONTRACT_VALUE_ORIG,ADDITIONAL_COST_ORIG,FINAL_COST_ORIG,YEAR,CONTRACT_DATE,START_DATE,ORIGINAL_DEADLINE,END_DATE,ID_ADJUDICACION,URLPROCESO,NIT_ENTIDAD,ID_CONTRATISTA,DPTO_MUN_CONTRATISTA,MUNICIPALITY,NOM_CONTRATISTA,ESTADO_PROCESO,MUNICIPIO_EJECUCION,ESTIMATED_COST_NORM,CONTRACT_VALUE_NORM,ADDITIONAL_COST_NORM,FINAL_COST_NORM,ADDITIONAL_TIME,FINAL_DEADLINE,PROJECT_INTENSITY_NORM,PROJECT_INTENSITY_ORIG,AWARD_GROWTH,COST_DEVIATION,TIME_DEVIATION,OWNER,REGION,HAVE_DEVIATION,HAVE_DEVIATION_COST,HAVE_DEVIATION_TIME,DEVIATION_TYPE,CONTRACT_VALUE_LOGNORM,CONTRCT_MONTH_AT,NUM_PENALTIES_ENTIDAD,TOTAL_CONTRACTS_OBRAS_ENTITY,PROPORTION_DEVIATION_ENTITY_ALL_TIME,PROPORTION_COST_DEVIATION_ENTITY_ALL_TIME,PROPORTION_TIME_DEVIATION_ENTITY_ALL_TIME,PROJECT_INTENSITY_NORM_ENTITY_ALL_TIME,AWARD_GROWTH_ORIG_ENTITY_ALL_TIME,TOTAL_CONTRACTS_OBRAS_CONT,PROPORTION_DEVIATION_CONT_ALL_TIME,PROPORTION_COST_DEVIATION_CONT_ALL_TIME,PROPORTION_TIME_DEVIATION_CONT_ALL_TIME,PROJECT_INTENSITY_NORM_CONT_ALL_TIME,AWARD_GROWTH_ORIG_CONT_ALL_TIME,REGION_EJECUTION,DEPT_COD_EJECUTION,DEPARTMENT_EJECUTION,MUN_COD_EJECUTION,MUNICIPALITY_EJECUTION,LNG,LAT,COD_DEPT,ECONOMIC_IMPORTANCE,OPEN_TRANSPARENCE_GOBERMENT,TRANSPORT_INVESTMENT,FISCAL_DESEMPENO,PRESIDENTIAL_PERIOD,REGIONAL_PERIOD,QUARTER
18-12-8757377-7960112,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,BOGOTA D.C.,OTHER,CONTRATACION DIRECTA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA SAN JOSE ALTO DE LOS CABALLEROS SECTOR SAN JOSE VEREDA CENTRO DEL LLANO; MUNICIPIO DE VILLA DE SAN DIEGO UBATE.,100000000.0,100000000.0,0.0,100000000.0,2018,2018-12-11,2018-12-31,240,2019-08-31,7960112,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-8757377'},900258711,899999281,CUNDINAMARCA,BOGOTa D.C.,MUNICIPIO DE UBATE,LIQUIDADO,BOGOTa D.C.,128.00131073342192,128.00131073342192,0.0,128.00131073342192,0,240,0.5333387947225913,416666.6666666667,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,False,False,False,Neither,7.000014773272858,18-12-01,3.0,2666.0,0.0,0.0,0.0,1.2483380141573184,-0.0017747729437651,0.0,0.0,0.0,0.0,0.0,0.0,REGIÓN CENTRO ORIENTE,11.0,BOGOTÁ D.C.,11001.0,BOGOTÁ D.C.,-74.20605366615385,4.3168398514615385,11001.0,217479.04625,98.49285714285716,542243238757.1667,81.04142857142858,True,False,4
15-1-147652-4032692,CUNDINAMARCA - ALCALDiA MUNICIPIO DE UBAQUE,CUNDINAMARCA,TYPE_6,LICITACION PUBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONTRATAR MEDIANTE EL SISTEMA DE PRECIOS UNITARIOS FIJOS NO REAJUSTABLES; LA CONSTRUCCION DE PLACA HUELLAS PARA EL MEJORAMIENTO VIAL EN LAS VEREDAS FISTEGA; CACIQUE; MOLINO; RIO NEGRO; ROMERO BAJO Y SABANILLA,700459984.0,700459984.0,0.0,700459984.0,2015,2015-10-26,2015-11-10,120,2016-03-10,4032692,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-147652'},No Definido,900902330-1,CUNDINAMARCA,UBAQUE,UNION TEMPORAL FISTEGA,LIQUIDADO,UBAQUE,1087.079978272678,1087.079978272678,0.0,1087.079978272678,0,120,9.058999818938982,5837166.533333333,0.0,0.0,0.0,MUNICIPALITY,ANDINA,False,False,False,Neither,10.086242370393236,15-10-01,0.0,2530.0,0.1197628458498023,0.1644268774703557,0.1865612648221344,7.145258253358466,-0.0068088482830135,0.0,0.0,0.0,0.0,0.0,0.0,REGIÓN CENTRO ORIENTE,25.0,CUNDINAMARCA,25841.0,UBAQUE,-73.93346087,4.483802095,25841.0,166.815,71.45142857142858,2144201801.3066664,64.84,False,True,4
18-11-7949806-7498890,BOYACa - ALCALDiA MUNICIPIO DE VIRACACHa,BOYACA,TYPE_6,SELECCION ABREVIADA DE MENOR CUANTIA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE VIAS MUNICIPALES Y CONSTRUCCION DE PLACA HUELLA EN LA VEREDA CHEN VIA PASO BLANCO Y SECTOR MATARREDONDA  DEL MUNICIPIO DE VIRACACHA DEPARTAMENTO DE BOYACA,218367363.0,217998966.0,49969805.0,267968771.0,2018,2018-04-13,2018-04-13,180,2018-10-10,7498890,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-7949806'},891801347,7168649,BOYACa,VIRACACHa,EDBIN GUILLERMO AVILA FONSECA,LIQUIDADO,VIRACACHa,279.5130868540094,279.0415338653068,63.962005370935,343.0035392362418,0,180,1.5502307436961489,1211105.3666666667,-0.0016870515581578,0.2292203762104082,0.0,MUNICIPALITY,ANDINA,True,True,False,Only cost deviation,8.124336065384188,18-04-01,0.0,19.0,0.1052631578947368,0.4210526315789473,0.1578947368421052,2.931970772221878,-0.0013712252231537,10.0,0.0,0.2,0.0,2.837956772109828,-0.000194775218094,REGIÓN CENTRO ORIENTE,15.0,BOYACÁ,15879.0,VIRACACHÁ,-73.29689965,5.436788535,15879.0,38.035,98.56714285714284,620945098.5,56.85714285714286,True,False,2
18-12-8795518-7996306,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,BOGOTA D.C.,OTHER,CONTRATACION DIRECTA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA QUE COMUNICA LA VEREDA PARAMON CON LA VEREDA GUAYAQUIL SECTOR MATA GUADUA; EN EL MUNICIPIO DE PULI; CUNDINAMARCA.,56800000.0,56800000.0,0.0,56800000.0,2018,2018-12-21,2018-12-31,240,2019-08-31,7996306,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-8795518'},900258711,800085612,CUNDINAMARCA,BOGOTa D.C.,MUNICIPIO DE PULI,LIQUIDADO,BOGOTa D.C.,72.70474449658364,72.70474449658364,0.0,72.70474449658364,0,240,0.3029364354024318,236666.66666666663,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,False,False,False,Neither,6.183977608115453,18-12-01,3.0,2822.0,0.0,0.0,0.0,1.2174905571959769,-0.0017054079932775,0.0,0.0,0.0,0.0,0.0,0.0,REGIÓN CENTRO ORIENTE,11.0,BOGOTÁ D.C.,11001.0,BOGOTÁ D.C.,-74.20605366615385,4.3168398514615385,11001.0,217479.04625,98.49285714285716,542243238757.1667,81.04142857142858,True,False,4
17-12-7271020-6605366,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,BOGOTA D.C.,OTHER,CONTRATACION DIRECTA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA ANOLAIMA - VEREDA LIMONAL SECTOR ESCUELA PUERTO LOPEZ DEL MUNICIPIO DE ANOLAIMA; CUNDINAMARCA.,100000000.0,100000000.0,0.0,100000000.0,2017,2017-11-07,2017-11-30,240,2018-07-30,6605366,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-7271020'},900258711,899999426,CUNDINAMARCA,BOGOTa D.C.,"MUNICIPIO DE ANOLAIMA, CUNDINAMARCA.",LIQUIDADO,BOGOTa D.C.,135.5533354931498,135.5533354931498,0.0,135.5533354931498,0,240,0.5648055645547908,416666.6666666667,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,False,False,False,Neither,7.082716803062642,17-11-01,3.0,2135.0,0.0,0.0,0.0,1.2553790113697936,-0.0009226033045839,0.0,0.0,0.0,0.0,0.0,0.0,REGIÓN CENTRO ORIENTE,11.0,BOGOTÁ D.C.,11001.0,BOGOTÁ D.C.,-74.20605366615385,4.3168398514615385,11001.0,217479.04625,98.49285714285716,542243238757.1667,81.04142857142858,False,False,4
18-12-8629357-7850377,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,BOGOTA D.C.,OTHER,CONTRATACION DIRECTA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA QUE CONDUCE DEL COMPLEJO DEPORTIVO AL SECTOR LOS CERRITOS DE LA VEREDA DE RODAMONTAL; SECTOR EL GUAJIRO MUNICIPIO DE COGUA; CUNDINAMARCA,100000000.0,100000000.0,0.0,100000000.0,2018,2018-11-06,2018-11-30,240,2019-07-30,7850377,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-8629357'},900258711,899999466,CUNDINAMARCA,BOGOTa D.C.,MUNICIPIO DE COGUA,LIQUIDADO,BOGOTa D.C.,128.00131073342192,128.00131073342192,0.0,128.00131073342192,0,240,0.5333387947225913,416666.6666666667,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,False,False,False,Neither,7.000014773272858,18-11-01,3.0,2531.0,0.0,0.0,0.0,1.294632498373084,-0.0018296946430821,0.0,0.0,0.0,0.0,0.0,0.0,REGIÓN CENTRO ORIENTE,11.0,BOGOTÁ D.C.,11001.0,BOGOTÁ D.C.,-74.20605366615385,4.3168398514615385,11001.0,217479.04625,98.49285714285716,542243238757.1667,81.04142857142858,True,False,4
18-12-8815254-8051737,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,BOGOTA D.C.,OTHER,CONTRATACION DIRECTA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA TERCIARIA QUE COMUNICA LA VEREDA EL CAMPIN CON LA VEREDA EL PARAMO SECTOR CRUCE DESDE LA VIA CAQUEZA A FOSCA EN EL MUNICIPIO DE CAQUEZA; CUNDINAMARCA,82000000.0,82000000.0,0.0,82000000.0,2018,2018-12-28,2018-12-31,240,2019-08-31,8051737,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-8815254'},900258711,899999462,CUNDINAMARCA,BOGOTa D.C.,MUNICIPIO DE CAQUEZA,LIQUIDADO,BOGOTa D.C.,104.96107480140596,104.96107480140596,0.0,104.96107480140596,0,240,0.4373378116725249,341666.6666666667,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,False,False,False,Neither,6.713710588116217,18-12-01,3.0,2984.0,0.0,0.0,0.0,1.1860593102342123,-0.0016434712454463,0.0,0.0,0.0,0.0,0.0,0.0,REGIÓN CENTRO ORIENTE,11.0,BOGOTÁ D.C.,11001.0,BOGOTÁ D.C.,-74.20605366615385,4.3168398514615385,11001.0,217479.04625,98.49285714285716,542243238757.1667,81.04142857142858,True,False,4
15-12-3976762-3689069,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,BOGOTA D.C.,OTHER,CONTRATACION DIRECTA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONSTRUCCION DE PLACA HUELLAS VEREDA SAN ANTONIO SECTOR LA ESCUELA,100000000.0,100000000.0,0.0,100000000.0,2015,2015-06-23,2015-06-23,120,2015-10-23,3689069,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3976762'},900258711,8000810919,CUNDINAMARCA,BOGOTa D.C.,MUNICIPIO DE CACHIPAY,LIQUIDADO,BOGOTa D.C.,155.19515791107318,155.19515791107318,0.0,155.19515791107318,0,120,1.2932929825922763,833333.3333333334,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,ANDINA,False,False,False,Neither,7.277939735916663,15-06-01,3.0,907.0,0.0,0.0,0.0,1.7518834123034688,-0.0012026816323058,0.0,0.0,0.0,0.0,0.0,0.0,REGIÓN CENTRO ORIENTE,11.0,BOGOTÁ D.C.,11001.0,BOGOTÁ D.C.,-74.20605366615385,4.3168398514615385,11001.0,217479.04625,98.49285714285716,542243238757.1667,81.04142857142858,False,True,2
22-13-13001218-12523537,MAGDALENA - ALCALDiA MUNICIPIO DE SITIONUEVO,MAGDALENA,TYPE_4,CONTRATACION MINIMA CUANTIA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONFORMACION DE TERRAPLEN EN MAL ESTADO EN VARIOS SECTORES DE LA VIA LA PUENTE ZONA RURAL DEL MUNICIPIO DE SITIONUEVO MAGDALENA,25420000.0,25355060.0,0.0,25355060.0,2022,2022-04-05,2022-05-06,30,2022-06-06,12523537,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-13-13001218'},891780103,72152484,MAGDALENA,SITIONUEVO,ANTONIO LOPEZ RESTREPO,LIQUIDADO,SITIONUEVO,25.42,25.35506,0.0,25.35506,0,30,0.8451686666666667,845168.6666666666,-0.0025546813532651,0.0,0.0,MUNICIPALITY,CARIBE,False,False,False,Neither,4.664201783277319,22-04-01,0.0,198.0,0.0,0.0,0.0,3.786922314582732,-0.0174360233257936,0.0,0.0,0.0,0.0,0.0,0.0,REGIÓN CARIBE,47.0,MAGDALENA,47745.0,SITIONUEVO,-74.652571472,10.851648704,47745.0,175.73125,74.93857142857142,1951416153.0,64.19666666666666,True,False,2
15-11-4236216-3984456,META - ALCALDiA MUNICIPIO DE PUERTO LLERAS,META,TYPE_6,SELECCION ABREVIADA DE MENOR CUANTIA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MANTENIMIENTO DE VIAS RURALES EN EL MUNICIPIO DE PUERTO LLERAS - META,109119999.0,109036054.0,0.0,109036054.0,2015,2015-10-08,2015-10-19,60,2015-12-19,3984456,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4236216'},No Definido,94368948-9,META,PUERTO LLERAS,CARLOS ARTURO ARBOLEDA GARZON,LIQUIDADO,PUERTO LLERAS,169.34895476061146,169.21867618530302,0.0,169.21867618530302,0,60,2.8203112697550505,1817267.566666667,-0.0007692906961994,0.0,0.0,MUNICIPALITY,ORINOQUIA,False,False,False,Neither,7.402744993179373,15-10-01,0.0,2424.0,0.1216996699669967,0.1662541254125412,0.1868811881188118,7.097771570792986,-0.0068143678370734,0.0,0.0,0.0,0.0,0.0,0.0,REGIÓN LLANO,50.0,META,50577.0,PUERTO LLERAS,-73.26499276714287,3.1722410238571426,50577.0,231.16875,88.43285714285715,1321429375.0833333,63.37190476190476,False,True,4
